Year,State,CoC Number,CoC Name,Measures,Count
1/1/2007,CA,CA-522,Humboldt County CoC,Sheltered Homeless,322
1/1/2007,CA,CA-523,"Colusa, Glenn, Trinity Counties CoC",Sheltered Homeless,54
1/1/2007,CA,CA-524,Yuba City & County/Sutter County CoC,Sheltered Homeless,299
1/1/2007,CA,CA-525,El Dorado County CoC,Sheltered Homeless,91
1/1/2007,CA,CA-526,"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",Sheltered Homeless,79
1/1/2007,CA,CA-600,Los Angeles City & County CoC,Sheltered Homeless,"11,442"
1/1/2007,CA,CA-601,San Diego City and County CoC,Sheltered Homeless,"3,981"
1/1/2007,CA,CA-602,Santa Ana/Anaheim/Orange County CoC,Sheltered Homeless,"2,578"
1/1/2007,CA,CA-603,Santa Maria/Santa Barbara County CoC,Sheltered Homeless,"1,480"
1/1/2007,CA,CA-604,Bakersfield/Kern County CoC,Sheltered Homeless,905
1/1/2007,CA,CA-606,Long Beach CoC,Sheltered Homeless,"1,679"
1/1/2007,CA,CA-607,Pasadena CoC,Sheltered Homeless,434
1/1/2007,CA,CA-608,Riverside City & County CoC,Sheltered Homeless,"1,330"
1/1/2007,CA,CA-609,San Bernardino City & County CoC,Sheltered Homeless,"1,220"
1/1/2007,CA,CA-611,Oxnard/San Buenaventura/Ventura County CoC,Sheltered Homeless,426
1/1/2007,CA,CA-612,Glendale CoC,Sheltered Homeless,233
1/1/2007,CA,CA-613,Imperial County CoC,Sheltered Homeless,113
1/1/2007,CA,CA-614,San Luis Obispo County CoC,Sheltered Homeless,187
1/1/2007,CO,CO-500,Colorado Balance of State CoC,Sheltered Homeless,"1,093"
1/1/2007,CO,CO-503,Metropolitan Denver Homeless Initiative,Sheltered Homeless,"5,185"
1/1/2007,CO,CO-504,Colorado Springs/El Paso County CoC,Sheltered Homeless,693
1/1/2007,CT,CT-503,Bridgeport/Norwalk /Stamford/Fairfield County CoC,Sheltered Homeless,789
1/1/2007,CT,CT-505,Connecticut Balance of State CoC,Sheltered Homeless,"2,882"
1/1/2007,DC,DC-500,District of Columbia CoC,Sheltered Homeless,"4,980"
1/1/2007,DE,DE-500,Delaware Statewide CoC,Sheltered Homeless,854
1/1/2007,FL,FL-500,"Sarasota/Bradenton/Manatee, Sarasota Counties CoC",Sheltered Homeless,494
1/1/2007,FL,FL-501,Tampa/Hillsborough County CoC,Sheltered Homeless,"1,050"
1/1/2007,FL,FL-502,St. Petersburg/Clearwater/Largo/Pinellas County CoC,Sheltered Homeless,"1,305"
1/1/2007,FL,FL-503,Lakeland/Winter Haven/Polk County CoC,Sheltered Homeless,487
1/1/2007,FL,FL-504,"Daytona Beach/Daytona/Volusia, Flagler Counties CoC",Sheltered Homeless,569
1/1/2007,FL,FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",Sheltered Homeless,105
1/1/2007,FL,FL-506,Tallahassee/Leon County CoC,Sheltered Homeless,495
1/1/2007,FL,FL-507,"Orlando/Orange, Osceola, Seminole Counties CoC",Sheltered Homeless,"2,003"
1/1/2007,FL,FL-508,"Gainesville/Alachua, Putnam Counties CoC",Sheltered Homeless,263
1/1/2007,FL,FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",Sheltered Homeless,458
1/1/2007,FL,FL-510,"Jacksonville-Duval, Clay Counties CoC",Sheltered Homeless,"1,585"
1/1/2007,FL,FL-511,Pensacola/Escambia/Santa Rosa County CoC,Sheltered Homeless,347
1/1/2007,FL,FL-512,Saint Johns County CoC,Sheltered Homeless,106
1/1/2007,FL,FL-513,Palm Bay/Melbourne/Brevard County CoC,Sheltered Homeless,502
1/1/2007,FL,FL-514,Ocala/Marion County CoC,Sheltered Homeless,312
1/1/2007,FL,FL-515,"Panama City/Bay, Jackson Counties CoC",Sheltered Homeless,211
1/1/2007,FL,FL-517,"Hendry, Hardee, Highlands Counties CoC",Sheltered Homeless,664
1/1/2007,FL,FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties CoC",Sheltered Homeless,85
1/1/2007,FL,FL-519,Pasco County CoC,Sheltered Homeless,"1,379"
1/1/2007,FL,FL-520,"Citrus, Hernando, Lake, Sumter Counties CoC",Sheltered Homeless,192
1/1/2007,FL,FL-600,Miami/Dade County CoC,Sheltered Homeless,"3,012"
1/1/2007,FL,FL-601,Ft Lauderdale/Broward County CoC,Sheltered Homeless,"2,453"
1/1/2007,FL,FL-602,Punta Gorda/Charlotte County CoC,Sheltered Homeless,450
1/1/2007,FL,FL-603,Ft Myers/Cape Coral/Lee County CoC,Sheltered Homeless,433
1/1/2007,FL,FL-604,Monroe County CoC,Sheltered Homeless,477
1/1/2007,FL,FL-605,West Palm Beach/Palm Beach County CoC,Sheltered Homeless,727
1/1/2007,FL,FL-606,Naples/Collier County CoC,Sheltered Homeless,365
1/1/2007,GA,GA-500,Atlanta Continuum of Care,Sheltered Homeless,"4,725"
1/1/2007,GA,GA-501,Georgia Balance of State CoC,Sheltered Homeless,"1,971"
1/1/2007,GA,GA-503,Athens/Clarke County CoC,Sheltered Homeless,333
1/1/2007,GA,GA-504,Augusta CoC,Sheltered Homeless,451
1/1/2007,GA,GA-505,Columbus-Muscogee/Russell County CoC,Sheltered Homeless,188
1/1/2007,GA,GA-506,Marietta/Cobb County CoC,Sheltered Homeless,329
1/1/2007,GA,GA-507,Savannah/Chatham County CoC,Sheltered Homeless,344
1/1/2007,GU,GU-500,Guam CoC,Sheltered Homeless,103
1/1/2007,HI,HI-500,Hawaii Balance of State CoC,Sheltered Homeless,755
1/1/2007,HI,HI-501,Honolulu CoC,Sheltered Homeless,"1,957"
1/1/2007,IA,IA-500,"Sioux City/Dakota, Woodbury Counties CoC",Sheltered Homeless,159
1/1/2007,IA,IA-501,Iowa Balance of State CoC,Sheltered Homeless,"1,340"
1/1/2007,IA,IA-502,Des Moines/Polk County CoC,Sheltered Homeless,942
1/1/2007,ID,ID-500,Boise/Ada County CoC,Sheltered Homeless,472
1/1/2007,ID,ID-501,Idaho Balance of State,Sheltered Homeless,653
1/1/2007,IL,IL-500,McHenry County CoC,Sheltered Homeless,235
1/1/2007,IL,IL-501,"Rockford/Winnebago, Boone Counties CoC",Sheltered Homeless,525
1/1/2007,IL,IL-502,Waukegan/North Chicago/Lake County CoC,Sheltered Homeless,486
1/1/2007,IL,IL-503,Champaign/Urbana/Rantoul/Champaign County CoC,Sheltered Homeless,416
1/1/2007,IL,IL-504,Madison County CoC,Sheltered Homeless,203
1/1/2007,IL,IL-506,Joliet/Bolingbrook/Will County CoC,Sheltered Homeless,379
1/1/2007,IL,IL-507,"Peoria/Perkin/Fulton, Peoria, Tazewell, Woodford CoC",Sheltered Homeless,336
1/1/2007,IL,IL-508,East Saint Louis/Belleville/Saint Clair County CoC,Sheltered Homeless,442
1/1/2007,IL,IL-509,Dekalb City & County CoC,Sheltered Homeless,106
1/1/2007,IL,IL-510,Chicago CoC,Sheltered Homeless,"4,346"
1/1/2007,IL,IL-511,Cook County CoC,Sheltered Homeless,"1,162"
1/1/2007,IL,IL-512,Bloomington/Central Illinois CoC,Sheltered Homeless,399
1/1/2007,IL,IL-513,Springfield/Sangamon County CoC,Sheltered Homeless,245
1/1/2007,IL,IL-514,DuPage County CoC,Sheltered Homeless,642
1/1/2007,IL,IL-515,South Central Illinois CoC,Sheltered Homeless,214
1/1/2007,IL,IL-516,Decatur/Macon County CoC,Sheltered Homeless,167
1/1/2007,IL,IL-517,Aurora/Elgin/Kane County CoC,Sheltered Homeless,418
1/1/2007,IL,IL-518,Rock Island/Moline/Northwestern Illinois CoC,Sheltered Homeless,506
1/1/2007,IL,IL-519,West Central Illinois CoC,Sheltered Homeless,148
1/1/2007,IL,IL-520,Southern Illinois CoC,Sheltered Homeless,796
1/1/2007,IN,IN-500,South Bend/Mishawaka/St. Joseph County CoC,Sheltered Homeless,584
1/1/2007,IN,IN-502,Indiana Balance of State CoC,Sheltered Homeless,"3,878"
1/1/2007,IN,IN-503,Indianapolis CoC,Sheltered Homeless,"1,634"
1/1/2007,KS,KS-502,Wichita/Sedgwick County CoC,Sheltered Homeless,473
1/1/2007,KS,KS-503,Topeka/Shawnee County CoC,Sheltered Homeless,226
1/1/2007,KS,KS-505,Overland Park/Shawnee/Johnson County CoC,Sheltered Homeless,147
1/1/2007,KS,KS-507,Kansas Balance of State CoC,Sheltered Homeless,853
1/1/2007,KY,KY-500,Kentucky Balance of State CoC,Sheltered Homeless,"2,421"
1/1/2007,KY,KY-501,Louisville/Jefferson County CoC,Sheltered Homeless,"2,407"
1/1/2007,KY,KY-502,Lexington/Fayette County CoC,Sheltered Homeless,"1,112"
1/1/2007,LA,LA-500,Lafayette/Acadiana CoC,Sheltered Homeless,457
1/1/2007,LA,LA-502,Shreveport/Bossier/Northwest CoC,Sheltered Homeless,723
1/1/2007,LA,LA-503,New Orleans/Jefferson Parish CoC,Sheltered Homeless,990
1/1/2007,LA,LA-504,Baton Rouge CoC,Sheltered Homeless,801
1/1/2007,LA,LA-505,Monroe/Northeast Louisiana CoC,Sheltered Homeless,262
1/1/2007,LA,LA-506,Slidell/Southeast Louisiana CoC,Sheltered Homeless,203
1/1/2007,LA,LA-507,Alexandria/Central Louisiana CoC,Sheltered Homeless,140
1/1/2007,LA,LA-508,Houma-Terrebonne/Thibodaux CoC,Sheltered Homeless,122
1/1/2007,LA,LA-509,Louisiana Balance of State,Sheltered Homeless,219
1/1/2007,MA,MA-500,Boston CoC,Sheltered Homeless,"4,798"
1/1/2007,MA,MA-501,"Holyoke/Franklin, Hampden, Hampshire Counties CoC",Sheltered Homeless,911
1/1/2007,MA,MA-502,Lynn CoC,Sheltered Homeless,208
1/1/2007,MA,MA-503,Cape Cod/Islands CoC,Sheltered Homeless,368
1/1/2007,MA,MA-504,Springfield CoC,Sheltered Homeless,"1,020"
1/1/2007,MA,MA-505,New Bedford CoC,Sheltered Homeless,356
1/1/2007,MA,MA-506,Worcester City & County CoC,Sheltered Homeless,"1,268"
1/1/2007,MA,MA-507,Pittsfield/Berkshire County CoC,Sheltered Homeless,315
1/1/2007,MA,MA-508,Lowell CoC,Sheltered Homeless,418
1/1/2007,MA,MA-509,Cambridge CoC,Sheltered Homeless,376
1/1/2007,MA,MA-510,Gloucester/Haverhill/Salem/Essex County CoC,Sheltered Homeless,584
1/1/2007,MA,MA-511,Quincy/Brockton/Weymouth/Plymouth City and County CoC,Sheltered Homeless,819
1/1/2007,MA,MA-514,Framingham/Waltham CoC,Sheltered Homeless,575
1/1/2007,MA,MA-515,Fall River CoC,Sheltered Homeless,139
1/1/2007,MA,MA-516,Massachusetts Balance of State,Sheltered Homeless,"1,005"
1/1/2007,MA,MA-517,Somerville CoC,Sheltered Homeless,196
1/1/2007,MA,MA-518,Brookline/Newton CoC,Sheltered Homeless,128
1/1/2007,MA,MA-519,Attleboro/Taunton/Bristol County CoC,Sheltered Homeless,229
1/1/2007,MD,MD-500,Cumberland/Allegany County CoC,Sheltered Homeless,141
1/1/2007,MD,MD-501,Baltimore City CoC,Sheltered Homeless,"1,978"
1/1/2007,MD,MD-502,Harford County CoC,Sheltered Homeless,132
1/1/2007,MD,MD-503,Annapolis/Anne Arundel County CoC,Sheltered Homeless,218
1/1/2007,MD,MD-504,Howard County CoC,Sheltered Homeless,151
1/1/2007,MD,MD-505,Baltimore County CoC,Sheltered Homeless,576
1/1/2007,MD,MD-506,Carroll County CoC,Sheltered Homeless,161
1/1/2007,MD,MD-507,Cecil County CoC,Sheltered Homeless,117
1/1/2007,MD,MD-508,"Charles, Calvert, St.Mary's Counties CoC",Sheltered Homeless,302
1/1/2007,MD,MD-509,Frederick City & County CoC,Sheltered Homeless,214
1/1/2007,MD,MD-510,Garrett County CoC,Sheltered Homeless,63
1/1/2007,MD,MD-511,Mid-Shore Regional CoC,Sheltered Homeless,139
1/1/2007,MD,MD-512,Hagerstown/Washington County CoC,Sheltered Homeless,209
1/1/2007,MD,MD-513,Wicomico/Somerset/Worcester County CoC,Sheltered Homeless,178
1/1/2007,MD,MD-600,Prince George`s County/Maryland CoC,Sheltered Homeless,823
1/1/2007,MD,MD-601,Montgomery County CoC,Sheltered Homeless,"1,016"
1/1/2007,ME,ME-500,Maine Balance of State CoC,Sheltered Homeless,"1,844"
1/1/2007,ME,ME-502,Portland CoC,Sheltered Homeless,732
1/1/2007,MI,MI-500,Michigan Balance of State CoC,Sheltered Homeless,"1,424"
1/1/2007,MI,MI-501,Detroit CoC,Sheltered Homeless,"4,738"
1/1/2007,MI,MI-502,Dearborn/Dearborn Heights/Westland/Wayne County CoC,Sheltered Homeless,618
1/1/2007,MI,MI-503,St. Clair Shores/Warren/Macomb County CoC,Sheltered Homeless,251
1/1/2007,MI,MI-504,Pontiac/Royal Oak/Oakland County CoC,Sheltered Homeless,402
1/1/2007,MI,MI-505,Flint/Genesee County CoC,Sheltered Homeless,213
1/1/2007,MI,MI-506,Grand Rapids/Wyoming/Kent County CoC,Sheltered Homeless,807
1/1/2007,MI,MI-507,Portage/Kalamazoo City & County CoC,Sheltered Homeless,593
1/1/2007,MI,MI-508,Lansing/East Lansing/Ingham County CoC,Sheltered Homeless,391
1/1/2007,MI,MI-509,Ann Arbor/Washtenaw County CoC,Sheltered Homeless,357
1/1/2007,MI,MI-510,Saginaw City & County CoC,Sheltered Homeless,274
1/1/2007,MI,MI-511,Lenawee County CoC,Sheltered Homeless,85
1/1/2007,MI,MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",Sheltered Homeless,216
1/1/2007,MI,MI-513,"Marquette, Alger Counties CoC",Sheltered Homeless,37
1/1/2007,MI,MI-514,Battle Creek/Calhoun County CoC,Sheltered Homeless,117
1/1/2007,MI,MI-515,Monroe City & County CoC,Sheltered Homeless,131
1/1/2007,MI,MI-516,Norton Shores/Muskegon City & County CoC,Sheltered Homeless,147
1/1/2007,MI,MI-517,Jackson City & County CoC,Sheltered Homeless,282
1/1/2007,MI,MI-518,Livingston County CoC,Sheltered Homeless,58
1/1/2007,MI,MI-519,Holland/Ottawa County CoC,Sheltered Homeless,306
1/1/2007,MI,MI-523,Eaton County CoC,Sheltered Homeless,105
1/1/2007,MN,MN-500,Minneapolis/Hennepin County CoC,Sheltered Homeless,"2,428"
1/1/2007,MN,MN-501,Saint Paul/Ramsey County CoC,Sheltered Homeless,"1,170"
1/1/2007,MN,MN-502,Rochester/Southeast Minnesota CoC,Sheltered Homeless,413
1/1/2007,MN,MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",Sheltered Homeless,664
1/1/2007,MN,MN-504,Northeast Minnesota CoC,Sheltered Homeless,116
1/1/2007,MN,MN-505,St. Cloud/Central Minnesota CoC,Sheltered Homeless,313
1/1/2007,MN,MN-506,Northwest Minnesota CoC,Sheltered Homeless,235
1/1/2007,MN,MN-508,Moorhead/West Central Minnesota CoC,Sheltered Homeless,165
1/1/2007,MN,MN-509,Duluth/St.Louis County CoC,Sheltered Homeless,294
1/1/2007,MN,MN-511,Southwest Minnesota CoC,Sheltered Homeless,80
1/1/2007,MO,MO-500,St. Louis County CoC,Sheltered Homeless,290
1/1/2007,MO,MO-501,St.Louis City CoC,Sheltered Homeless,"1,173"
1/1/2007,MO,MO-503,"St. Charles, Lincoln, Warren Counties CoC",Sheltered Homeless,227
1/1/2007,MO,MO-600,"Springfield/Greene, Christian, Webster Counties CoC",Sheltered Homeless,478
1/1/2007,MO,MO-602,"Joplin/Jasper, Newton Counties CoC",Sheltered Homeless,298
1/1/2007,MO,MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",Sheltered Homeless,100
1/1/2007,MO,MO-604a,"Kansas City, Independence, Lees Summit/Jackson, Wyandotte Counties, MO & KS",Sheltered Homeless,"1,575"
1/1/2007,MO,MO-606,Missouri Balance of State CoC,Sheltered Homeless,"1,126"
1/1/2007,MS,MS-500,"Jackson/Rankin, Madison Counties CoC",Sheltered Homeless,440
1/1/2007,MS,MS-501,Mississippi Balance of State CoC,Sheltered Homeless,344
1/1/2007,MS,MS-503,Gulf Port/Gulf Coast Regional CoC,Sheltered Homeless,67
1/1/2007,MT,MT-500,Montana Statewide CoC,Sheltered Homeless,855
1/1/2007,NC,NC-500,Winston Salem/Forsyth County CoC,Sheltered Homeless,479
1/1/2007,NC,NC-501,Asheville/Buncombe County CoC,Sheltered Homeless,448
1/1/2007,NC,NC-502,Durham City & County CoC,Sheltered Homeless,502
1/1/2007,NC,NC-503,North Carolina Balance of State CoC,Sheltered Homeless,"1,552"
1/1/2007,NC,NC-504,Greensboro/High Point CoC,Sheltered Homeless,980
1/1/2007,NC,NC-505,Charlotte/Mecklenberg CoC,Sheltered Homeless,"1,648"
1/1/2007,NC,NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",Sheltered Homeless,419
1/1/2007,NC,NC-507,Raleigh/Wake County CoC,Sheltered Homeless,973
1/1/2007,NC,NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",Sheltered Homeless,214
1/1/2007,NC,NC-511,Fayetteville/Cumberland County CoC,Sheltered Homeless,313
1/1/2007,NC,NC-513,Chapel Hill/Orange County CoC,Sheltered Homeless,183
1/1/2007,NC,NC-516,Northwest North Carolina CoC,Sheltered Homeless,168
1/1/2007,ND,ND-500,North Dakota Statewide CoC,Sheltered Homeless,577
1/1/2007,NE,NE-500,Nebraska Balance of State CoC,Sheltered Homeless,537
1/1/2007,NE,NE-501,Omaha/Council Bluffs CoC,Sheltered Homeless,"1,632"
1/1/2007,NE,NE-502,Lincoln CoC,Sheltered Homeless,838
1/1/2007,NH,NH-500,New Hampshire Balance of State CoC,Sheltered Homeless,769
1/1/2007,NH,NH-501,Manchester CoC,Sheltered Homeless,307
1/1/2007,NH,NH-502,Nashua/Hillsborough County CoC,Sheltered Homeless,197
1/1/2007,NJ,NJ-500,Atlantic City & County CoC,Sheltered Homeless,425
1/1/2007,NJ,NJ-501,Bergen County CoC,Sheltered Homeless,"1,210"
1/1/2007,NJ,NJ-502,Burlington County CoC,Sheltered Homeless,780
1/1/2007,NJ,NJ-503,"Camden City/Camden, Cumberland, Gloucester, Cape May Counties CoC",Sheltered Homeless,"1,124"
1/1/2007,NJ,NJ-504,Newark/Essex County CoC,Sheltered Homeless,"1,906"
1/1/2007,NJ,NJ-506,Jersey City/Bayonne/Hudson County CoC,Sheltered Homeless,"2,678"
1/1/2007,NJ,NJ-507,New Brunswick/Middlesex County CoC,Sheltered Homeless,728
1/1/2007,NJ,NJ-508,Monmouth County CoC,Sheltered Homeless,757
1/1/2007,NJ,NJ-509,Morris County CoC,Sheltered Homeless,229
1/1/2007,NJ,NJ-510,Lakewood Township/Ocean County CoC,Sheltered Homeless,381
1/1/2007,NJ,NJ-511,Paterson/Passaic County CoC,Sheltered Homeless,831
1/1/2007,NJ,NJ-512,Salem County CoC,Sheltered Homeless,454
1/1/2007,NJ,NJ-513,Somerset County CoC,Sheltered Homeless,343
1/1/2007,NJ,NJ-514,Trenton/Mercer County CoC,Sheltered Homeless,"1,242"
1/1/2007,NJ,NJ-515,Elizabeth/Union County CoC,Sheltered Homeless,"1,072"
1/1/2007,NJ,NJ-516,"Warren, Sussex, Hunterdon Counties CoC",Sheltered Homeless,676
1/1/2007,NM,NM-500,Albuquerque CoC,Sheltered Homeless,989
1/1/2007,NM,NM-501,New Mexico Balance of State CoC,Sheltered Homeless,759
1/1/2007,NV,NV-500,Las Vegas/Clark County CoC,Sheltered Homeless,"3,844"
1/1/2007,NV,NV-501,Reno/Sparks/Washoe County CoC,Sheltered Homeless,765
1/1/2007,NV,NV-502,Nevada Balance of State CoC,Sheltered Homeless,209
1/1/2007,NY,NY-500,Rochester/Irondequoit/Greece/Monroe County CoC,Sheltered Homeless,602
1/1/2007,NY,NY-501,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",Sheltered Homeless,174
1/1/2007,NY,NY-503,Albany City & County CoC,Sheltered Homeless,539
1/1/2007,NY,NY-504,Cattaragus County CoC,Sheltered Homeless,104
1/1/2007,NY,NY-505,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC",Sheltered Homeless,762
1/1/2007,NY,NY-507,Schenectady City & County CoC,Sheltered Homeless,209
1/1/2007,NY,NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",Sheltered Homeless,"1,203"
1/1/2007,NY,NY-510,Ithaca/Tompkins County CoC,Sheltered Homeless,62
1/1/2007,NY,NY-511,"Binghamton, Union/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Counties C",Sheltered Homeless,203
1/1/2007,NY,NY-512,Troy/Rensselaer County CoC,Sheltered Homeless,166
1/1/2007,NY,NY-513,"Wayne, Ontario, Seneca, Yates Counties CoC",Sheltered Homeless,98
1/1/2007,NY,NY-514,Jamestown/Dunkirk/Chautauqua County CoC,Sheltered Homeless,67
1/1/2007,NY,NY-515,Cortland County CoC,Sheltered Homeless,0
1/1/2007,NY,NY-516,Clinton County CoC,Sheltered Homeless,48
1/1/2007,NY,NY-518,"Utica/Rome/Oneida, Madison Counties CoC",Sheltered Homeless,318
1/1/2007,NY,NY-519,Columbia/Greene County CoC,Sheltered Homeless,311
1/1/2007,NY,NY-520,Franklin County CoC,Sheltered Homeless,27
1/1/2007,NY,NY-523,"Glens Falls/Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties CoC",Sheltered Homeless,146
1/1/2007,NY,NY-600,New York City CoC,Sheltered Homeless,"46,617"
1/1/2007,NY,NY-601,Poughkeepsie/Dutchess County CoC,Sheltered Homeless,463
1/1/2007,NY,NY-602,Newburgh/Middletown/Orange County CoC,Sheltered Homeless,227
1/1/2007,NY,NY-603,"Nassau, Suffolk Counties/Babylon/Islip/ Huntington CoC",Sheltered Homeless,"2,351"
1/1/2007,NY,NY-604,Yonkers/Mount Vernon/New Rochelle/Westchester CoC,Sheltered Homeless,"1,693"
1/1/2007,NY,NY-606,Rockland County CoC,Sheltered Homeless,435
1/1/2007,NY,NY-607,Sullivan County CoC,Sheltered Homeless,267
1/1/2007,NY,NY-608,Kingston/Ulster County CoC,Sheltered Homeless,158
1/1/2007,NY,NY-609,Putnam County CoC,Sheltered Homeless,31
1/1/2007,OH,OH-500,Cincinnati/Hamilton County CoC,Sheltered Homeless,987
1/1/2007,OH,OH-501,Toledo/Lucas County CoC,Sheltered Homeless,631
1/1/2007,OH,OH-502,Cleveland/Cuyahoga County CoC,Sheltered Homeless,"2,001"
1/1/2007,OH,OH-503,Columbus/Franklin County CoC,Sheltered Homeless,"1,259"
1/1/2007,OH,OH-504,Youngstown/Mahoning County CoC,Sheltered Homeless,232
1/1/2007,OH,OH-505,Dayton/Kettering/Montgomery County CoC,Sheltered Homeless,719
1/1/2007,OH,OH-506,Akron/Barberton/Summit County CoC,Sheltered Homeless,632
1/1/2007,OH,OH-507,Ohio Balance of State CoC,Sheltered Homeless,"2,498"
1/1/2007,OH,OH-508,Canton/Massillon/Alliance/Stark County CoC,Sheltered Homeless,421
1/1/2007,OK,OK-500,North Central Oklahoma CoC,Sheltered Homeless,173
1/1/2007,OK,OK-501,Tulsa City & County/Broken Arrow CoC,Sheltered Homeless,594
1/1/2007,OK,OK-502,Oklahoma City CoC,Sheltered Homeless,"1,278"
1/1/2007,OK,OK-503,Oklahoma Balance of State CoC,Sheltered Homeless,149
1/1/2007,OK,OK-504,Norman/Cleveland County CoC,Sheltered Homeless,322
1/1/2007,OK,OK-505,Northeast Oklahoma CoC,Sheltered Homeless,150
1/1/2007,OK,OK-506,Southwest Oklahoma Regional CoC,Sheltered Homeless,226
1/1/2007,OK,OK-507,Southeastern Oklahoma Regional CoC,Sheltered Homeless,197
